,gleak (nS),Eleak (mV),cap (pF),rseries (MOhms),rseal (GOhms)
0,1.6900002121774236,-22.212387339340204,40.84383,8.780062,0.7338677
1,1.400014388723131,-7.289013248294363,41.00931,8.848647999999999,0.7240463
2,1.2346046886754865,1.3699130930434864,40.79108,8.780062,0.7489691
3,1.1944772547839595,-12.928969292366268,40.88615,8.368542999999999,0.888839
4,1.2213494615018117,-7.381014017972804,40.59198,8.505716,0.8237649
5,1.2496693596678945,-9.593603550179967,40.213950000000004,8.574302,0.8081882
6,1.0724065471600843,0.8310762347650783,41.665949999999995,8.711475,0.8778334000000001
7,1.212997939108972,-13.244797991276528,41.77722,8.780062,0.8698956000000001
8,1.5705646153891206,-30.00915612681836,41.93975,8.917235,1.3882130000000001
9,2.410675579796456,-12.119933015332728,41.28503,9.054407,0.44104550000000003
10,2.164712370602661,-8.388657906371755,41.57626,9.19158,0.4713625
11,2.1906825363776234,-8.55378573668546,41.45559,9.260167,0.4684472
12,2.2800662515386767,-11.925976116558962,41.89461,9.19158,0.4684839
13,2.142687302830542,-10.988150470334123,41.73301,9.260167,0.4965449
14,1.8645780107434071,-12.466046329725295,42.11715,9.260167,0.5659917
15,1.8355966202394705,-8.53803476324788,42.20626,8.780062,0.5618886000000001
16,1.9016298108090155,-12.359167615351412,42.38927,8.985821,0.5764275
17,2.2910639378592843,-21.509637606801824,42.59828,8.780062,0.534313
18,2.115574253077355,-12.117255058647,42.53656,8.848647999999999,0.5353455
