;Sweep Count;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
;Sweep Time (s);717.000E-3;20.717E+0;40.724E+0;60.725E+0;80.724E+0;100.725E+0;120.725E+0;140.724E+0;160.738E+0;180.738E+0;200.749E+0;220.749E+0;240.749E+0;260.749E+0;280.748E+0;300.748E+0;320.748E+0;340.752E+0;360.751E+0;380.751E+0;400.752E+0;420.751E+0;440.759E+0;460.760E+0;480.759E+0;500.759E+0;520.759E+0;540.760E+0;560.759E+0
Sample Point;Sample Time (us);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);
1;0;-286.957E-12;-301.147E-12;-294.840E-12;-299.570E-12;-291.687E-12;-299.570E-12;-302.724E-12;-297.994E-12;-293.264E-12;-302.724E-12;-301.147E-12;-297.994E-12;-299.570E-12;-312.184E-12;-316.914E-12;-323.221E-12;-334.257E-12;-408.362E-12;-417.822E-12;-422.552E-12;-411.515E-12;-430.435E-12;-435.165E-12;-443.049E-12;-446.202E-12;-449.356E-12;-435.165E-12;-449.356E-12;-449.356E-12
2;100;-275.920E-12;-294.840E-12;-285.380E-12;-296.417E-12;-293.264E-12;-299.570E-12;-299.570E-12;-297.994E-12;-301.147E-12;-297.994E-12;-302.724E-12;-299.570E-12;-299.570E-12;-309.030E-12;-320.067E-12;-340.564E-12;-331.104E-12;-409.938E-12;-416.245E-12;-414.668E-12;-406.785E-12;-444.625E-12;-441.472E-12;-435.165E-12;-446.202E-12;-443.049E-12;-436.742E-12;-449.356E-12;-449.356E-12
3;200;-277.497E-12;-299.570E-12;-293.264E-12;-297.994E-12;-299.570E-12;-310.607E-12;-305.877E-12;-294.840E-12;-296.417E-12;-301.147E-12;-302.724E-12;-305.877E-12;-307.454E-12;-320.067E-12;-323.221E-12;-332.681E-12;-335.834E-12;-403.632E-12;-413.092E-12;-425.705E-12;-413.092E-12;-430.435E-12;-438.319E-12;-441.472E-12;-444.625E-12;-449.356E-12;-432.012E-12;-454.086E-12;-449.356E-12
4;300;-279.073E-12;-294.840E-12;-293.264E-12;-296.417E-12;-290.110E-12;-310.607E-12;-291.687E-12;-296.417E-12;-304.300E-12;-301.147E-12;-307.454E-12;-310.607E-12;-312.184E-12;-315.337E-12;-320.067E-12;-327.951E-12;-338.988E-12;-403.632E-12;-425.705E-12;-427.282E-12;-424.129E-12;-432.012E-12;-447.779E-12;-454.086E-12;-441.472E-12;-450.932E-12;-443.049E-12;-444.625E-12;-458.816E-12
5;400;-277.497E-12;-296.417E-12;-280.650E-12;-299.570E-12;-296.417E-12;-305.877E-12;-293.264E-12;-302.724E-12;-297.994E-12;-301.147E-12;-305.877E-12;-293.264E-12;-307.454E-12;-316.914E-12;-321.644E-12;-332.681E-12;-329.527E-12;-408.362E-12;-430.435E-12;-427.282E-12;-420.975E-12;-444.625E-12;-443.049E-12;-460.392E-12;-441.472E-12;-449.356E-12;-435.165E-12;-457.239E-12;-449.356E-12
6;500;-286.957E-12;-297.994E-12;-288.534E-12;-304.300E-12;-293.264E-12;-312.184E-12;-307.454E-12;-315.337E-12;-307.454E-12;-301.147E-12;-307.454E-12;-297.994E-12;-299.570E-12;-321.644E-12;-332.681E-12;-335.834E-12;-332.681E-12;-417.822E-12;-420.975E-12;-413.092E-12;-424.129E-12;-449.356E-12;-436.742E-12;-463.546E-12;-441.472E-12;-454.086E-12;-436.742E-12;-468.276E-12;-449.356E-12
7;600;-291.687E-12;-307.454E-12;-280.650E-12;-301.147E-12;-291.687E-12;-312.184E-12;-296.417E-12;-299.570E-12;-299.570E-12;-305.877E-12;-309.030E-12;-297.994E-12;-304.300E-12;-320.067E-12;-331.104E-12;-340.564E-12;-337.411E-12;-411.515E-12;-424.129E-12;-433.589E-12;-409.938E-12;-443.049E-12;-441.472E-12;-450.932E-12;-439.895E-12;-449.356E-12;-443.049E-12;-463.546E-12;-450.932E-12
8;700;-283.803E-12;-285.380E-12;-291.687E-12;-305.877E-12;-297.994E-12;-312.184E-12;-297.994E-12;-294.840E-12;-304.300E-12;-307.454E-12;-316.914E-12;-297.994E-12;-309.030E-12;-320.067E-12;-326.374E-12;-334.257E-12;-340.564E-12;-406.785E-12;-424.129E-12;-436.742E-12;-414.668E-12;-435.165E-12;-438.319E-12;-446.202E-12;-433.589E-12;-441.472E-12;-436.742E-12;-447.779E-12;-446.202E-12
