;Sweep Count;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
;Sweep Time (s);314.000E-3;40.317E+0;80.318E+0;120.319E+0;160.322E+0;200.324E+0;240.325E+0;280.327E+0;320.329E+0;360.330E+0;400.334E+0;440.336E+0;480.338E+0;520.339E+0;560.341E+0
Sample Point;Sample Time (us);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);
1;0;-194.026E-12;-619.937E-12;-4.784E-9;-6.010E-9;-10.080E-9;-8.411E-9;-8.256E-9;-8.258E-9;-8.878E-9;-8.823E-9;-9.187E-9;-9.007E-9;-6.835E-9;-6.524E-9;-6.220E-9
2;100;-194.026E-12;-619.937E-12;-4.784E-9;-5.997E-9;-10.097E-9;-8.414E-9;-8.252E-9;-8.242E-9;-8.862E-9;-8.812E-9;-9.181E-9;-9.007E-9;-6.837E-9;-6.534E-9;-6.209E-9
3;200;-197.181E-12;-619.937E-12;-4.784E-9;-5.994E-9;-10.088E-9;-8.406E-9;-8.250E-9;-8.239E-9;-8.872E-9;-8.815E-9;-9.192E-9;-9.015E-9;-6.834E-9;-6.529E-9;-6.214E-9
4;300;-187.716E-12;-615.205E-12;-4.799E-9;-5.999E-9;-10.096E-9;-8.419E-9;-8.242E-9;-8.239E-9;-8.872E-9;-8.829E-9;-9.195E-9;-9.021E-9;-6.832E-9;-6.542E-9;-6.223E-9
5;400;-190.871E-12;-608.895E-12;-4.783E-9;-6.005E-9;-10.086E-9;-8.420E-9;-8.261E-9;-8.234E-9;-8.873E-9;-8.816E-9;-9.195E-9;-9.020E-9;-6.840E-9;-6.531E-9;-6.220E-9
6;500;-195.604E-12;-626.247E-12;-4.794E-9;-6.007E-9;-10.091E-9;-8.422E-9;-8.255E-9;-8.241E-9;-8.884E-9;-8.820E-9;-9.192E-9;-9.021E-9;-6.848E-9;-6.537E-9;-6.215E-9
7;600;-195.604E-12;-616.783E-12;-4.797E-9;-6.005E-9;-10.091E-9;-8.431E-9;-8.258E-9;-8.248E-9;-8.864E-9;-8.826E-9;-9.190E-9;-9.012E-9;-6.840E-9;-6.529E-9;-6.214E-9
8;700;-198.759E-12;-612.050E-12;-4.797E-9;-6.013E-9;-10.100E-9;-8.411E-9;-8.264E-9;-8.247E-9;-8.875E-9;-8.813E-9;-9.198E-9;-9.018E-9;-6.830E-9;-6.527E-9;-6.212E-9
9;800;-192.449E-12;-621.515E-12;-4.791E-9;-6.015E-9;-10.094E-9;-8.417E-9;-8.264E-9;-8.252E-9;-8.864E-9;-8.818E-9;-9.203E-9;-9.001E-9;-6.834E-9;-6.534E-9;-6.215E-9
10;900;-190.871E-12;-626.247E-12;-4.795E-9;-6.009E-9;-10.094E-9;-8.419E-9;-8.260E-9;-8.248E-9;-8.868E-9;-8.823E-9;-9.182E-9;-9.007E-9;-6.835E-9;-6.537E-9;-6.212E-9
11;1000;-187.716E-12;-618.360E-12;-4.797E-9;-6.010E-9;-10.099E-9;-8.427E-9;-8.253E-9;-8.253E-9;-8.867E-9;-8.813E-9;-9.178E-9;-9.009E-9;-6.846E-9;-6.537E-9;-6.231E-9
12;1100;-194.026E-12;-615.205E-12;-4.780E-9;-6.018E-9;-10.096E-9;-8.425E-9;-8.261E-9;-8.252E-9;-8.857E-9;-8.810E-9;-9.195E-9;-9.014E-9;-6.835E-9;-6.540E-9;-6.220E-9
13;1200;-194.026E-12;-610.473E-12;-4.772E-9;-6.012E-9;-10.100E-9;-8.417E-9;-8.258E-9;-8.241E-9;-8.867E-9;-8.808E-9;-9.181E-9;-9.015E-9;-6.848E-9;-6.521E-9;-6.215E-9
14;1300;-190.871E-12;-618.360E-12;-4.781E-9;-6.018E-9;-10.096E-9;-8.420E-9;-8.267E-9;-8.244E-9;-8.870E-9;-8.813E-9;-9.181E-9;-9.018E-9;-6.834E-9;-6.534E-9;-6.225E-9
