;Sweep Count;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
;Sweep Time (s);314.000E-3;40.317E+0;80.318E+0;120.319E+0;160.322E+0;200.324E+0;240.325E+0;280.327E+0;320.329E+0;360.330E+0;400.334E+0;440.336E+0;480.338E+0;520.339E+0;560.341E+0
Sample Point;Sample Time (us);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);
1;0;-110.421E-12;-126.196E-12;-132.506E-12;-153.013E-12;-153.013E-12;-156.167E-12;-164.055E-12;-170.364E-12;-176.674E-12;-189.294E-12;-201.913E-12;-206.646E-12;-203.491E-12;-250.814E-12;-851.822E-12
2;100;-116.731E-12;-137.238E-12;-126.196E-12;-148.280E-12;-157.745E-12;-151.435E-12;-160.900E-12;-164.055E-12;-173.519E-12;-190.871E-12;-208.223E-12;-206.646E-12;-205.068E-12;-247.660E-12;-848.668E-12
3;200;-108.844E-12;-126.196E-12;-132.506E-12;-151.435E-12;-154.590E-12;-154.590E-12;-162.477E-12;-171.942E-12;-165.632E-12;-186.139E-12;-203.491E-12;-201.913E-12;-205.068E-12;-255.547E-12;-861.287E-12
4;300;-104.112E-12;-121.464E-12;-134.083E-12;-153.013E-12;-151.435E-12;-156.167E-12;-162.477E-12;-179.829E-12;-178.252E-12;-184.562E-12;-197.181E-12;-194.026E-12;-211.378E-12;-257.124E-12;-859.710E-12
5;400;-105.689E-12;-132.506E-12;-121.464E-12;-160.900E-12;-148.280E-12;-157.745E-12;-162.477E-12;-171.942E-12;-173.519E-12;-189.294E-12;-212.956E-12;-197.181E-12;-206.646E-12;-253.969E-12;-853.400E-12
6;500;-118.309E-12;-126.196E-12;-134.083E-12;-165.632E-12;-154.590E-12;-162.477E-12;-165.632E-12;-160.900E-12;-164.055E-12;-187.716E-12;-211.378E-12;-198.759E-12;-216.111E-12;-250.814E-12;-856.555E-12
7;600;-105.689E-12;-123.041E-12;-138.816E-12;-151.435E-12;-156.167E-12;-153.013E-12;-164.055E-12;-164.055E-12;-171.942E-12;-195.604E-12;-195.604E-12;-206.646E-12;-209.801E-12;-257.124E-12;-869.174E-12
8;700;-110.421E-12;-113.576E-12;-145.125E-12;-160.900E-12;-153.013E-12;-148.280E-12;-164.055E-12;-168.787E-12;-168.787E-12;-195.604E-12;-203.491E-12;-200.336E-12;-216.111E-12;-247.660E-12;-869.174E-12
9;800;-111.999E-12;-118.309E-12;-135.661E-12;-151.435E-12;-164.055E-12;-153.013E-12;-170.364E-12;-164.055E-12;-170.364E-12;-190.871E-12;-201.913E-12;-201.913E-12;-203.491E-12;-257.124E-12;-869.174E-12
10;900;-107.267E-12;-121.464E-12;-135.661E-12;-145.125E-12;-162.477E-12;-168.787E-12;-167.210E-12;-162.477E-12;-171.942E-12;-195.604E-12;-206.646E-12;-201.913E-12;-201.913E-12;-255.547E-12;-854.977E-12
11;1000;-115.154E-12;-123.041E-12;-129.351E-12;-151.435E-12;-164.055E-12;-168.787E-12;-170.364E-12;-168.787E-12;-164.055E-12;-192.449E-12;-212.956E-12;-205.068E-12;-200.336E-12;-263.434E-12;-862.865E-12
12;1100;-107.267E-12;-135.661E-12;-135.661E-12;-165.632E-12;-156.167E-12;-160.900E-12;-162.477E-12;-170.364E-12;-179.829E-12;-189.294E-12;-197.181E-12;-208.223E-12;-208.223E-12;-244.505E-12;-858.132E-12
13;1200;-111.999E-12;-123.041E-12;-137.238E-12;-148.280E-12;-153.013E-12;-156.167E-12;-165.632E-12;-168.787E-12;-175.097E-12;-190.871E-12;-192.449E-12;-203.491E-12;-208.223E-12;-257.124E-12;-861.287E-12
14;1300;-107.267E-12;-121.464E-12;-126.196E-12;-148.280E-12;-153.013E-12;-149.858E-12;-168.787E-12;-159.322E-12;-179.829E-12;-186.139E-12;-205.068E-12;-195.604E-12;-201.913E-12;-257.124E-12;-859.710E-12
