;Sweep Count;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
;Sweep Time (s);314.000E-3;40.317E+0;80.318E+0;120.319E+0;160.322E+0;200.324E+0;240.325E+0;280.327E+0;320.329E+0;360.330E+0;400.334E+0;440.336E+0;480.338E+0;520.339E+0;560.341E+0
Sample Point;Sample Time (us);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);
1;0;-59.943E-12;-119.886E-12;-167.210E-12;-203.491E-12;-241.350E-12;-265.011E-12;-280.786E-12;-444.841E-12;-440.108E-12;-484.277E-12;-518.981E-12;-509.516E-12;-536.333E-12;-534.755E-12;-741.401E-12
2;100;-70.985E-12;-108.844E-12;-170.364E-12;-194.026E-12;-241.350E-12;-266.589E-12;-279.208E-12;-441.686E-12;-436.953E-12;-468.502E-12;-518.981E-12;-501.629E-12;-553.685E-12;-525.291E-12;-749.288E-12
3;200;-72.563E-12;-119.886E-12;-171.942E-12;-187.716E-12;-235.040E-12;-263.434E-12;-269.744E-12;-446.418E-12;-449.573E-12;-477.967E-12;-526.868E-12;-509.516E-12;-545.797E-12;-530.023E-12;-741.401E-12
4;300;-64.675E-12;-123.041E-12;-167.210E-12;-197.181E-12;-250.814E-12;-253.969E-12;-271.321E-12;-443.263E-12;-438.531E-12;-474.812E-12;-528.445E-12;-501.629E-12;-555.262E-12;-537.910E-12;-755.598E-12
5;400;-69.408E-12;-111.999E-12;-170.364E-12;-209.801E-12;-255.547E-12;-250.814E-12;-279.208E-12;-454.305E-12;-438.531E-12;-485.854E-12;-531.600E-12;-507.939E-12;-548.952E-12;-539.488E-12;-752.443E-12
6;500;-70.985E-12;-118.309E-12;-170.364E-12;-197.181E-12;-244.505E-12;-261.857E-12;-285.518E-12;-446.418E-12;-447.996E-12;-490.587E-12;-534.755E-12;-511.094E-12;-542.642E-12;-537.910E-12;-747.711E-12
7;600;-75.718E-12;-123.041E-12;-167.210E-12;-208.223E-12;-242.927E-12;-268.166E-12;-280.786E-12;-455.883E-12;-447.996E-12;-490.587E-12;-533.178E-12;-500.051E-12;-555.262E-12;-531.600E-12;-744.556E-12
8;700;-69.408E-12;-126.196E-12;-165.632E-12;-205.068E-12;-255.547E-12;-265.011E-12;-285.518E-12;-436.953E-12;-441.686E-12;-479.545E-12;-525.291E-12;-501.629E-12;-552.107E-12;-533.178E-12;-738.246E-12
9;800;-66.253E-12;-119.886E-12;-159.322E-12;-201.913E-12;-250.814E-12;-266.589E-12;-280.786E-12;-443.263E-12;-438.531E-12;-479.545E-12;-536.333E-12;-498.474E-12;-544.220E-12;-541.065E-12;-746.133E-12
10;900;-69.408E-12;-119.886E-12;-164.055E-12;-201.913E-12;-249.237E-12;-268.166E-12;-280.786E-12;-443.263E-12;-433.798E-12;-484.277E-12;-522.136E-12;-507.939E-12;-548.952E-12;-537.910E-12;-747.711E-12
11;1000;-66.253E-12;-108.844E-12;-162.477E-12;-209.801E-12;-249.237E-12;-269.744E-12;-282.363E-12;-444.841E-12;-449.573E-12;-484.277E-12;-523.713E-12;-511.094E-12;-537.910E-12;-530.023E-12;-754.021E-12
12;1100;-78.872E-12;-118.309E-12;-162.477E-12;-209.801E-12;-241.350E-12;-263.434E-12;-272.899E-12;-446.418E-12;-444.841E-12;-484.277E-12;-525.291E-12;-509.516E-12;-542.642E-12;-534.755E-12;-749.288E-12
13;1200;-70.985E-12;-107.267E-12;-168.787E-12;-205.068E-12;-252.392E-12;-261.857E-12;-287.096E-12;-449.573E-12;-436.953E-12;-482.699E-12;-520.558E-12;-514.248E-12;-552.107E-12;-542.642E-12;-728.781E-12
14;1300;-63.098E-12;-124.618E-12;-164.055E-12;-201.913E-12;-255.547E-12;-272.899E-12;-290.251E-12;-455.883E-12;-449.573E-12;-477.967E-12;-520.558E-12;-506.361E-12;-547.375E-12;-534.755E-12;-741.401E-12
