;Sweep Count;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
;Sweep Time (s);314.000E-3;40.317E+0;80.318E+0;120.319E+0;160.322E+0;200.324E+0;240.325E+0;280.327E+0;320.329E+0;360.330E+0;400.334E+0;440.336E+0;480.338E+0;520.339E+0;560.341E+0
Sample Point;Sample Time (us);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);
1;0;-184.562E-12;-198.759E-12;-214.533E-12;-227.153E-12;-241.350E-12;-290.251E-12;-263.434E-12;-293.406E-12;-318.645E-12;-370.701E-12;-365.968E-12;-413.292E-12;-397.517E-12;-377.010E-12;-405.404E-12
2;100;-182.984E-12;-198.759E-12;-212.956E-12;-223.998E-12;-242.927E-12;-293.406E-12;-257.124E-12;-290.251E-12;-318.645E-12;-362.813E-12;-377.010E-12;-400.672E-12;-388.052E-12;-388.052E-12;-397.517E-12
3;200;-175.097E-12;-203.491E-12;-227.153E-12;-225.575E-12;-230.308E-12;-285.518E-12;-263.434E-12;-291.828E-12;-317.067E-12;-369.123E-12;-359.658E-12;-400.672E-12;-372.278E-12;-381.743E-12;-397.517E-12
4;300;-178.252E-12;-214.533E-12;-225.575E-12;-227.153E-12;-227.153E-12;-288.673E-12;-271.321E-12;-304.448E-12;-312.335E-12;-362.813E-12;-362.813E-12;-397.517E-12;-389.630E-12;-391.207E-12;-402.249E-12
5;400;-189.294E-12;-201.913E-12;-223.998E-12;-225.575E-12;-239.772E-12;-291.828E-12;-268.166E-12;-293.406E-12;-323.377E-12;-375.433E-12;-353.349E-12;-400.672E-12;-380.165E-12;-375.433E-12;-406.982E-12
6;500;-182.984E-12;-205.068E-12;-206.646E-12;-222.420E-12;-238.195E-12;-290.251E-12;-263.434E-12;-296.560E-12;-326.532E-12;-365.968E-12;-365.968E-12;-406.982E-12;-381.743E-12;-381.743E-12;-413.292E-12
7;600;-182.984E-12;-198.759E-12;-214.533E-12;-225.575E-12;-242.927E-12;-280.786E-12;-268.166E-12;-310.757E-12;-324.955E-12;-372.278E-12;-359.658E-12;-406.982E-12;-386.475E-12;-391.207E-12;-410.137E-12
8;700;-184.562E-12;-203.491E-12;-214.533E-12;-231.885E-12;-236.617E-12;-291.828E-12;-266.589E-12;-302.870E-12;-313.912E-12;-373.855E-12;-369.123E-12;-414.869E-12;-373.855E-12;-384.898E-12;-416.447E-12
9;800;-187.716E-12;-205.068E-12;-220.843E-12;-236.617E-12;-230.308E-12;-283.941E-12;-265.011E-12;-299.715E-12;-324.955E-12;-372.278E-12;-367.546E-12;-400.672E-12;-386.475E-12;-386.475E-12;-400.672E-12
10;900;-190.871E-12;-206.646E-12;-225.575E-12;-230.308E-12;-244.505E-12;-287.096E-12;-269.744E-12;-306.025E-12;-320.222E-12;-370.701E-12;-377.010E-12;-416.447E-12;-391.207E-12;-383.320E-12;-408.559E-12
11;1000;-190.871E-12;-217.688E-12;-209.801E-12;-230.308E-12;-253.969E-12;-290.251E-12;-263.434E-12;-298.138E-12;-317.067E-12;-364.391E-12;-372.278E-12;-418.024E-12;-386.475E-12;-391.207E-12;-406.982E-12
12;1100;-186.139E-12;-205.068E-12;-205.068E-12;-227.153E-12;-241.350E-12;-287.096E-12;-261.857E-12;-304.448E-12;-328.109E-12;-369.123E-12;-369.123E-12;-408.559E-12;-388.052E-12;-380.165E-12;-413.292E-12
13;1200;-187.716E-12;-212.956E-12;-220.843E-12;-231.885E-12;-247.660E-12;-285.518E-12;-260.279E-12;-283.941E-12;-321.800E-12;-375.433E-12;-367.546E-12;-411.714E-12;-384.898E-12;-394.362E-12;-405.404E-12
14;1300;-176.674E-12;-205.068E-12;-223.998E-12;-235.040E-12;-250.814E-12;-283.941E-12;-263.434E-12;-285.518E-12;-321.800E-12;-373.855E-12;-365.968E-12;-414.869E-12;-392.785E-12;-389.630E-12;-411.714E-12
