;Sweep Count;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
;Sweep Time (s);391.000E-3;20.393E+0;40.409E+0;60.426E+0;80.435E+0;100.444E+0;120.449E+0;140.468E+0;160.469E+0;180.471E+0;200.472E+0;220.473E+0;240.474E+0;260.475E+0;280.475E+0;300.476E+0;320.477E+0;340.478E+0;360.479E+0;380.480E+0;400.480E+0;420.481E+0;440.482E+0;460.483E+0;480.484E+0;500.485E+0;520.486E+0;540.487E+0;560.487E+0
Sample Point;Sample Time (us);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);
1;0;-20.492E-12;-14.187E-12;-39.407E-12;-31.526E-12;-40.984E-12;-34.678E-12;-31.526E-12;-48.865E-12;-77.238E-12;-72.509E-12;-85.120E-12;-81.967E-12;-97.730E-12;-97.730E-12;-122.951E-12;-138.714E-12;-141.866E-12;-190.731E-12;-212.799E-12;-250.630E-12;-255.359E-12;-269.546E-12;-263.241E-12;-271.122E-12;-274.275E-12;-280.580E-12;-294.767E-12;-282.156E-12;-291.614E-12
2;100;-33.102E-12;-20.492E-12;-33.102E-12;-22.068E-12;-47.289E-12;-42.560E-12;-37.831E-12;-66.204E-12;-59.899E-12;-75.662E-12;-81.967E-12;-78.815E-12;-86.696E-12;-93.001E-12;-119.798E-12;-121.374E-12;-141.866E-12;-203.342E-12;-217.528E-12;-245.902E-12;-247.478E-12;-260.088E-12;-272.698E-12;-272.698E-12;-283.733E-12;-285.309E-12;-294.767E-12;-294.767E-12;-294.767E-12
3;200;-28.373E-12;-26.797E-12;-17.339E-12;-28.373E-12;-42.560E-12;-48.865E-12;-44.136E-12;-63.052E-12;-56.747E-12;-78.815E-12;-66.204E-12;-83.543E-12;-89.849E-12;-108.764E-12;-115.069E-12;-129.256E-12;-140.290E-12;-192.308E-12;-217.528E-12;-245.902E-12;-269.546E-12;-267.970E-12;-280.580E-12;-272.698E-12;-283.733E-12;-290.038E-12;-296.343E-12;-296.343E-12;-299.495E-12
4;300;-33.102E-12;-31.526E-12;-26.797E-12;-20.492E-12;-40.984E-12;-50.441E-12;-48.865E-12;-50.441E-12;-67.781E-12;-80.391E-12;-77.238E-12;-86.696E-12;-86.696E-12;-102.459E-12;-119.798E-12;-129.256E-12;-133.985E-12;-195.460E-12;-220.681E-12;-241.173E-12;-271.122E-12;-256.936E-12;-274.275E-12;-279.004E-12;-275.851E-12;-286.885E-12;-304.224E-12;-297.919E-12;-293.190E-12
5;400;-34.678E-12;-36.255E-12;-34.678E-12;-26.797E-12;-37.831E-12;-36.255E-12;-50.441E-12;-55.170E-12;-69.357E-12;-77.238E-12;-78.815E-12;-94.578E-12;-91.425E-12;-97.730E-12;-107.188E-12;-138.714E-12;-137.137E-12;-189.155E-12;-220.681E-12;-242.749E-12;-258.512E-12;-250.630E-12;-286.885E-12;-272.698E-12;-299.495E-12;-290.038E-12;-297.919E-12;-290.038E-12;-291.614E-12
6;500;-39.407E-12;-29.950E-12;-34.678E-12;-33.102E-12;-36.255E-12;-44.136E-12;-50.441E-12;-55.170E-12;-63.052E-12;-78.815E-12;-81.967E-12;-107.188E-12;-105.612E-12;-107.188E-12;-108.764E-12;-130.832E-12;-138.714E-12;-195.460E-12;-214.376E-12;-244.325E-12;-271.122E-12;-260.088E-12;-280.580E-12;-280.580E-12;-290.038E-12;-282.156E-12;-296.343E-12;-301.072E-12;-294.767E-12
7;600;-45.712E-12;-26.797E-12;-36.255E-12;-31.526E-12;-42.560E-12;-39.407E-12;-44.136E-12;-53.594E-12;-69.357E-12;-72.509E-12;-81.967E-12;-94.578E-12;-96.154E-12;-97.730E-12;-121.374E-12;-129.256E-12;-146.595E-12;-190.731E-12;-231.715E-12;-245.902E-12;-288.461E-12;-256.936E-12;-282.156E-12;-277.427E-12;-277.427E-12;-291.614E-12;-296.343E-12;-290.038E-12;-297.919E-12
8;700;-39.407E-12;-20.492E-12;-31.526E-12;-29.950E-12;-44.136E-12;-45.712E-12;-42.560E-12;-58.323E-12;-64.628E-12;-72.509E-12;-86.696E-12;-96.154E-12;-97.730E-12;-105.612E-12;-111.917E-12;-129.256E-12;-146.595E-12;-200.189E-12;-228.562E-12;-245.902E-12;-263.241E-12;-274.275E-12;-279.004E-12;-279.004E-12;-285.309E-12;-286.885E-12;-301.072E-12;-286.885E-12;-301.072E-12
