;Sweep Count;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
;Sweep Time (s);371.000E-3;40.373E+0;80.373E+0;120.375E+0;160.374E+0;200.376E+0;240.377E+0;280.378E+0;320.378E+0;360.379E+0;400.380E+0;440.380E+0;480.381E+0;520.382E+0;560.383E+0
Sample Point;Sample Time (us);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);
1;0;-99.149E-12;-118.035E-12;-89.707E-12;-92.854E-12;-66.100E-12;-73.969E-12;-78.690E-12;-62.952E-12;-75.542E-12;-73.969E-12;-110.166E-12;-772.735E-12;-155.806E-12;-176.265E-12;-177.839E-12
2;100;-92.854E-12;-113.314E-12;-91.280E-12;-96.002E-12;-72.395E-12;-75.542E-12;-67.673E-12;-66.100E-12;-77.116E-12;-73.969E-12;-100.723E-12;-775.883E-12;-157.380E-12;-179.413E-12;-182.561E-12
3;200;-94.428E-12;-118.035E-12;-96.002E-12;-73.969E-12;-75.542E-12;-75.542E-12;-66.100E-12;-69.247E-12;-70.821E-12;-81.838E-12;-97.576E-12;-761.719E-12;-141.642E-12;-169.970E-12;-187.282E-12
4;300;-102.297E-12;-121.183E-12;-103.871E-12;-77.116E-12;-62.952E-12;-70.821E-12;-61.378E-12;-73.969E-12;-80.264E-12;-72.395E-12;-107.018E-12;-777.457E-12;-149.511E-12;-173.118E-12;-182.561E-12
5;400;-108.592E-12;-114.887E-12;-91.280E-12;-86.559E-12;-67.673E-12;-81.838E-12;-72.395E-12;-62.952E-12;-83.411E-12;-73.969E-12;-103.871E-12;-779.031E-12;-149.511E-12;-173.118E-12;-188.856E-12
6;500;-105.445E-12;-122.756E-12;-99.149E-12;-91.280E-12;-67.673E-12;-73.969E-12;-78.690E-12;-73.969E-12;-77.116E-12;-84.985E-12;-108.592E-12;-785.326E-12;-141.642E-12;-174.692E-12;-199.872E-12
7;600;-105.445E-12;-110.166E-12;-92.854E-12;-89.707E-12;-75.542E-12;-77.116E-12;-66.100E-12;-59.804E-12;-67.673E-12;-73.969E-12;-99.149E-12;-786.899E-12;-141.642E-12;-187.282E-12;-193.577E-12
8;700;-113.314E-12;-111.740E-12;-103.871E-12;-77.116E-12;-72.395E-12;-81.838E-12;-66.100E-12;-66.100E-12;-80.264E-12;-99.149E-12;-105.445E-12;-783.752E-12;-155.806E-12;-176.265E-12;-193.577E-12
9;800;-102.297E-12;-110.166E-12;-89.707E-12;-77.116E-12;-66.100E-12;-77.116E-12;-75.542E-12;-70.821E-12;-78.690E-12;-83.411E-12;-114.887E-12;-780.604E-12;-143.216E-12;-177.839E-12;-195.151E-12
10;900;-111.740E-12;-125.904E-12;-83.411E-12;-78.690E-12;-67.673E-12;-75.542E-12;-66.100E-12;-51.935E-12;-73.969E-12;-81.838E-12;-111.740E-12;-783.752E-12;-147.937E-12;-179.413E-12;-187.282E-12
11;1000;-102.297E-12;-110.166E-12;-80.264E-12;-83.411E-12;-64.526E-12;-86.559E-12;-75.542E-12;-56.657E-12;-80.264E-12;-89.707E-12;-103.871E-12;-777.457E-12;-143.216E-12;-169.970E-12;-196.725E-12
12;1100;-102.297E-12;-111.740E-12;-94.428E-12;-89.707E-12;-73.969E-12;-70.821E-12;-66.100E-12;-50.362E-12;-80.264E-12;-86.559E-12;-107.018E-12;-774.309E-12;-138.494E-12;-158.954E-12;-190.430E-12
13;1200;-105.445E-12;-110.166E-12;-96.002E-12;-88.133E-12;-73.969E-12;-66.100E-12;-61.378E-12;-58.231E-12;-75.542E-12;-83.411E-12;-102.297E-12;-771.162E-12;-141.642E-12;-171.544E-12;-180.987E-12
14;1300;-100.723E-12;-122.756E-12;-92.854E-12;-84.985E-12;-77.116E-12;-66.100E-12;-75.542E-12;-59.804E-12;-70.821E-12;-75.542E-12;-102.297E-12;-769.588E-12;-138.494E-12;-180.987E-12;-187.282E-12
15;1400;-111.740E-12;-116.461E-12;-92.854E-12;-75.542E-12;-67.673E-12;-72.395E-12;-75.542E-12;-66.100E-12;-72.395E-12;-75.542E-12;-108.592E-12;-777.457E-12;-140.068E-12;-177.839E-12;-187.282E-12
16;1500;-100.723E-12;-102.297E-12;-89.707E-12;-86.559E-12;-69.247E-12;-75.542E-12;-70.821E-12;-67.673E-12;-77.116E-12;-77.116E-12;-92.854E-12;-775.883E-12;-143.216E-12;-180.987E-12;-199.872E-12
17;1600;-114.887E-12;-114.887E-12;-102.297E-12;-84.985E-12;-59.804E-12;-75.542E-12;-73.969E-12;-56.657E-12;-78.690E-12;-64.526E-12;-97.576E-12;-777.457E-12;-149.511E-12;-171.544E-12;-195.151E-12
18;1700;-121.183E-12;-107.018E-12;-89.707E-12;-92.854E-12;-58.231E-12;-72.395E-12;-73.969E-12;-55.083E-12;-77.116E-12;-78.690E-12;-110.166E-12;-779.031E-12;-143.216E-12;-173.118E-12;-190.430E-12
19;1800;-108.592E-12;-97.576E-12;-96.002E-12;-89.707E-12;-66.100E-12;-81.838E-12;-64.526E-12;-59.804E-12;-70.821E-12;-80.264E-12;-89.707E-12;-780.604E-12;-149.511E-12;-177.839E-12;-188.856E-12
20;1900;-91.280E-12;-108.592E-12;-97.576E-12;-81.838E-12;-66.100E-12;-80.264E-12;-75.542E-12;-58.231E-12;-72.395E-12;-78.690E-12;-107.018E-12;-764.866E-12;-149.511E-12;-171.544E-12;-184.134E-12
21;2000;-107.018E-12;-110.166E-12;-91.280E-12;-73.969E-12;-72.395E-12;-77.116E-12;-75.542E-12;-62.952E-12;-83.411E-12;-83.411E-12;-119.609E-12;-779.031E-12;-143.216E-12;-171.544E-12;-188.856E-12
