;Sweep Count;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
;Sweep Time (s);371.000E-3;40.373E+0;80.373E+0;120.375E+0;160.374E+0;200.376E+0;240.377E+0;280.378E+0;320.378E+0;360.379E+0;400.380E+0;440.380E+0;480.381E+0;520.382E+0;560.383E+0
Sample Point;Sample Time (us);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);
1;0;-133.773E-12;-174.692E-12;-179.413E-12;-143.216E-12;-243.939E-12;-204.594E-12;-162.101E-12;-163.675E-12;-187.282E-12;-234.496E-12;-247.086E-12;-270.693E-12;-251.808E-12;-261.251E-12;-297.448E-12
2;100;-140.068E-12;-165.249E-12;-182.561E-12;-146.363E-12;-250.234E-12;-199.872E-12;-166.823E-12;-162.101E-12;-188.856E-12;-228.201E-12;-243.939E-12;-276.989E-12;-250.234E-12;-261.251E-12;-280.136E-12
3;200;-140.068E-12;-166.823E-12;-180.987E-12;-157.380E-12;-251.808E-12;-195.151E-12;-166.823E-12;-165.249E-12;-188.856E-12;-225.053E-12;-247.086E-12;-278.562E-12;-265.972E-12;-261.251E-12;-284.858E-12
4;300;-143.216E-12;-162.101E-12;-185.708E-12;-146.363E-12;-247.086E-12;-190.430E-12;-171.544E-12;-158.954E-12;-177.839E-12;-231.348E-12;-248.660E-12;-272.267E-12;-259.677E-12;-258.103E-12;-281.710E-12
5;400;-138.494E-12;-166.823E-12;-187.282E-12;-155.806E-12;-254.955E-12;-188.856E-12;-166.823E-12;-168.396E-12;-184.134E-12;-226.627E-12;-240.791E-12;-272.267E-12;-265.972E-12;-275.415E-12;-284.858E-12
6;500;-141.642E-12;-166.823E-12;-182.561E-12;-162.101E-12;-253.382E-12;-206.168E-12;-173.118E-12;-173.118E-12;-185.708E-12;-226.627E-12;-248.660E-12;-269.120E-12;-261.251E-12;-269.120E-12;-289.579E-12
7;600;-155.806E-12;-169.970E-12;-169.970E-12;-154.232E-12;-253.382E-12;-196.725E-12;-165.249E-12;-162.101E-12;-185.708E-12;-237.644E-12;-247.086E-12;-280.136E-12;-262.824E-12;-270.693E-12;-275.415E-12
8;700;-149.511E-12;-160.528E-12;-171.544E-12;-152.659E-12;-251.808E-12;-212.463E-12;-166.823E-12;-160.528E-12;-188.856E-12;-232.922E-12;-243.939E-12;-273.841E-12;-254.955E-12;-272.267E-12;-288.005E-12
9;800;-138.494E-12;-166.823E-12;-173.118E-12;-155.806E-12;-261.251E-12;-207.741E-12;-166.823E-12;-173.118E-12;-185.708E-12;-242.365E-12;-248.660E-12;-269.120E-12;-258.103E-12;-265.972E-12;-278.562E-12
10;900;-141.642E-12;-166.823E-12;-179.413E-12;-155.806E-12;-261.251E-12;-203.020E-12;-163.675E-12;-173.118E-12;-180.987E-12;-232.922E-12;-253.382E-12;-280.136E-12;-259.677E-12;-253.382E-12;-284.858E-12
11;1000;-143.216E-12;-160.528E-12;-169.970E-12;-147.937E-12;-261.251E-12;-201.446E-12;-165.249E-12;-173.118E-12;-192.003E-12;-232.922E-12;-240.791E-12;-261.251E-12;-264.398E-12;-259.677E-12;-289.579E-12
12;1100;-143.216E-12;-157.380E-12;-169.970E-12;-151.085E-12;-253.382E-12;-196.725E-12;-162.101E-12;-169.970E-12;-188.856E-12;-243.939E-12;-239.217E-12;-264.398E-12;-262.824E-12;-264.398E-12;-275.415E-12
13;1200;-138.494E-12;-157.380E-12;-174.692E-12;-160.528E-12;-264.398E-12;-206.168E-12;-174.692E-12;-160.528E-12;-184.134E-12;-242.365E-12;-239.217E-12;-265.972E-12;-259.677E-12;-276.989E-12;-281.710E-12
14;1300;-138.494E-12;-158.954E-12;-173.118E-12;-154.232E-12;-247.086E-12;-210.889E-12;-169.970E-12;-162.101E-12;-185.708E-12;-225.053E-12;-247.086E-12;-264.398E-12;-264.398E-12;-265.972E-12;-286.431E-12
15;1400;-141.642E-12;-158.954E-12;-184.134E-12;-157.380E-12;-248.660E-12;-201.446E-12;-168.396E-12;-165.249E-12;-188.856E-12;-236.070E-12;-245.513E-12;-272.267E-12;-270.693E-12;-256.529E-12;-280.136E-12
16;1500;-147.937E-12;-165.249E-12;-185.708E-12;-149.511E-12;-247.086E-12;-198.299E-12;-162.101E-12;-169.970E-12;-177.839E-12;-223.479E-12;-240.791E-12;-273.841E-12;-258.103E-12;-270.693E-12;-288.005E-12
17;1600;-157.380E-12;-163.675E-12;-177.839E-12;-166.823E-12;-250.234E-12;-195.151E-12;-166.823E-12;-163.675E-12;-182.561E-12;-228.201E-12;-242.365E-12;-272.267E-12;-259.677E-12;-267.546E-12;-283.284E-12
18;1700;-149.511E-12;-163.675E-12;-173.118E-12;-160.528E-12;-253.382E-12;-209.315E-12;-171.544E-12;-168.396E-12;-187.282E-12;-223.479E-12;-251.808E-12;-272.267E-12;-262.824E-12;-273.841E-12;-280.136E-12
19;1800;-143.216E-12;-173.118E-12;-180.987E-12;-157.380E-12;-250.234E-12;-206.168E-12;-168.396E-12;-168.396E-12;-176.265E-12;-228.201E-12;-245.513E-12;-273.841E-12;-262.824E-12;-273.841E-12;-289.579E-12
20;1900;-135.347E-12;-173.118E-12;-184.134E-12;-146.363E-12;-254.955E-12;-207.741E-12;-174.692E-12;-168.396E-12;-185.708E-12;-226.627E-12;-243.939E-12;-250.234E-12;-267.546E-12;-258.103E-12;-292.727E-12
21;2000;-133.773E-12;-166.823E-12;-179.413E-12;-149.511E-12;-258.103E-12;-206.168E-12;-169.970E-12;-166.823E-12;-174.692E-12;-231.348E-12;-248.660E-12;-264.398E-12;-256.529E-12;-276.989E-12;-289.579E-12
